Cell_id	Site01	Site02	Site03
step9_Al_yorklxqdhms66yfz43ce_cell26	R-17	R-5	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell7	R-17	R-5	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell8	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell16	R-17	R-5	R-39
step9_Al_z54k2mn1kspqdfxi1pdr_cell2	R-17	R-8	R-3
step9_NP_vlugemo4cu261xpcfn4j_cell5	R-17	R-5	R-2
step9_SE_yw3ew6vii1be2orhxeb8_cell38	R-17	R-5	R-2
step9_ExEc_os9ehd1zh2z9fdsjln4g_cell4	R-17	R-46	R-2
step9_ExEc_wsgftfkniik728dyrozi_cell25	R-17	R-46	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell26	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell31	R-17	R-16	R-2
step9_VE_iblms369zydmqt8amgrd_cell3	R-17	R-8	R-3
step9_VE_k4ufema8le74egqgofpb_cell1	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell63	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell37	R-17	R-8	R-3
step9_A/C_aqxukpwbp9bfzyy33zt9_cell14	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell13	R-17	R-5	R-5
step9_NP_16cyihvimym522jcuaby_cell3	R-17	R-8	R-3
step9_CMy_8cwhctqtitt969yivr3t_cell12	R-17	R-8	R-3
step9_Node_kvpbk7oi2ydniesu7m28_cell22	R-17	R-8	R-3
step9_Ery2_zw9lmt4zufshxoc82duc_cell32	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell1	R-17	R-8	R-3
step9_A/C_ds2q4kalqkri4b1byfoj_cell8	R-17	R-5	R-5
step9_PM_kpdnxg85a5qombh983pv_cell7	R-17	R-16	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell49	R-17	R-16	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell9	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell19	R-17	R-8	R-3
step9_SE_gj8xc1nruazati5qe6vo_cell3	R-17	R-5	R-1
step9_ExE_nibp8ht25gt3rmx9o78s_cell13	R-17	R-5	R-88
step9_ExEc_28yb9pgez73wp6bfoxpp_cell6	R-17	R-46	R-2
step9_ExEc_jmclxul2x6fcwgqiymyy_cell5	R-17	R-46	R-2
step9_Al_yorklxqdhms66yfz43ce_cell35	R-17	R-8	R-3
step9_RM_fp53fcwab8nflp6mj97o_cell6	R-17	R-8	R-3
step9_Foregut1_3ae9425majht8ho62hhe_cell2	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell7	R-17	R-5	R-39
step9_Foregut_64itb6yij735r7vqfut3_cell3	R-17	R-5	R-39
step9_NP_6f42fo31k3ji3gznsnuz_cell2	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell22	R-17	R-5	R-39
step9_Node_o8nez1z564u4bgkfoi8m_cell4	R-17	R-5	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell2	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell68	R-17	R-5	R-5
step9_Foregut_bnowzacs3e9lx8c7ierz_cell11	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell55	R-17	R-5	R-1
step9_SE_4px85t8ebc9pblit7nfo_cell11	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell25	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell40	R-17	R-8	R-3
step9_Ery2_m5db6slty57jeyg5idqx_cell18	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell4	R-17	R-5	R-1
step9_LM_e9gka63dh53n7ztqvekc_cell3	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell46	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell31	R-17	R-5	R-39
step9_ExE_1ydq5j6hqtviq3szwye8_cell14	R-17	R-5	R-39
step9_LM_ummziu8je45t8bwd1ssi_cell35	R-17	R-8	R-15
step9_A/C_ds2q4kalqkri4b1byfoj_cell64	R-17	R-5	R-5
step9_Al_z54k2mn1kspqdfxi1pdr_cell22	R-17	R-5	R-1
step9_ExEc_zwtydq6cdu36vroqak71_cell2	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell63	R-17	R-16	R-2
step9_Foregut_64itb6yij735r7vqfut3_cell2	R-17	R-16	R-2
step9_Al_yorklxqdhms66yfz43ce_cell27	R-17	R-5	R-5
step9_Ery2_zw9lmt4zufshxoc82duc_cell20	R-17	R-8	R-3
step9_LM_ummziu8je45t8bwd1ssi_cell40	R-17	R-8	R-15
step9_LM_qercie7fjaw58haxrm3q_cell3	R-17	R-8	R-3
